﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:7MeXwzhSDGfqNfuFANgzVC","Toxicity","System Of A Down","Toxicity","1","12","218933","spotify:user:rhahyrion","2014-11-17T20:25:57Z"
"spotify:track:7JqB8SEed68wjX8qpjeixa","The Regulator","Clutch","Summer Sound Attack","1","2","325026","spotify:user:rhahyrion","2014-11-17T20:26:13Z"
"spotify:track:4StfM1idzpB7LsyvL1LpyK","Be A Kid","Twin Atlantic","Great Divide (Deluxe Version)","1","8","253466","spotify:user:1156541371","2014-11-18T07:23:36Z"
"spotify:track:6IlilHik656e8Yh7srdbbk","Hand In Hand","Walking On Cars","Hand In Hand EP","1","1","228158","spotify:user:1156541371","2014-11-18T07:23:41Z"
"spotify:track:14IaFQDWoTKlQGTd3R0lXH","This Isn't Everything You Are","Snow Patrol","Fallen Empires","1","4","297681","spotify:user:1156541371","2014-11-18T07:23:49Z"
"spotify:track:17609ifVvJ7Npd8IqVnRFc","Little Black Submarines - radio edit","The Black Keys","Little Black Submarines","1","1","204692","spotify:user:1156541371","2014-11-18T07:24:01Z"
"spotify:track:3dOAXUx7I1qnzWzxdnsyB8","Lonely Boy","The Black Keys","Lonely Boy","1","1","193653","spotify:user:1156541371","2014-11-18T07:24:07Z"
"spotify:track:4MzGM692jKGkNSQ7qzeTaJ","Fever","The Black Keys","Fever","1","1","246306","spotify:user:1156541371","2014-11-18T07:24:12Z"
"spotify:track:46iI0binWzpkEJgIWTYUBR","Gold On The Ceiling","The Black Keys","Gold On The Ceiling","1","1","224333","spotify:user:1156541371","2014-11-18T07:24:17Z"
"spotify:track:3wf3jWAQHsnPNfUtNSQvkz","Gotta Get Away","The Black Keys","Gotta Get Away","1","1","180173","spotify:user:1156541371","2014-11-18T07:24:22Z"
"spotify:track:1b6YAHd6shxkWbOjCr0tSI","27","Passenger","Whispers (Deluxe)","1","2","197106","spotify:user:1156541371","2014-11-18T07:24:32Z"
"spotify:track:265Anh9hGoozFigjUVLUeD","New Shoes","Paolo Nutini","These Streets","1","6","203653","spotify:user:1156541371","2014-11-18T07:24:38Z"
"spotify:track:2bcC9Xyi40wnI7Od5uch31","Iron Sky","Paolo Nutini","Caustic Love","1","8","373133","spotify:user:1156541371","2014-11-18T07:24:41Z"
"spotify:track:2ShRMsWI8v2odWEaPPJ4Bs","End Of The Affair","Ben Howard","End Of The Affair","1","1","466040","spotify:user:1156541371","2014-11-18T07:24:49Z"
"spotify:track:5VVuxxuQIJD0pjjFls1DKL","No One Knows","Queens of the Stone Age","No One Knows (International Version)","1","1","255066","spotify:user:1156541371","2014-11-18T07:24:54Z"
"spotify:track:1dv3ePjze9tPq2pk8eWJdR","Gimme Shelter","The Rolling Stones","Let It Bleed","1","1","270773","spotify:user:1156541371","2014-11-18T07:25:00Z"
"spotify:track:3odPjdX1SjxxjIr0EZjEht","Sympathy For The Devil","The Rolling Stones","Singles 1968-1971 (International Version)","1","19","377573","spotify:user:1156541371","2014-11-18T07:25:04Z"
"spotify:track:5kU3t1oIrKmdkkgYu7oivk","A Sky Full of Stars","Coldplay","Ghost Stories","1","8","267949","spotify:user:1156541371","2014-11-18T07:25:09Z"
"spotify:track:5Xak5fmy089t0FYmh3VJiY","Black","Pearl Jam","Ten","1","5","342653","spotify:user:1156541371","2014-11-18T07:25:17Z"
"spotify:track:27rgTetikreqkvedaxrF5N","Grounds for Divorce","Elbow","The Seldom Seen Kid","1","4","219453","spotify:user:1156541371","2014-11-18T07:25:37Z"
"spotify:track:6gPOZjrem03ICCVTVLvNmN","Lived a Lie","You Me At Six","Cavalier Youth","1","2","203247","spotify:user:1156541371","2014-11-18T07:27:07Z"
"spotify:track:3zaCBaBsSii7XcHtPjlix5","Car Radio","Twenty One Pilots","Vessel (Bonus Tracks Version)","1","5","267720","spotify:user:1156541371","2014-11-18T07:27:11Z"
"spotify:track:3zDOkbMLOAnHwZJFWS84b6","Beggars","Mallory Knox","Signals","1","1","219630","spotify:user:1156541371","2014-11-18T07:27:18Z"
"spotify:track:30uJNlHIjfDeE4vr8g9fpf","Snap Out Of It","Arctic Monkeys","AM","1","10","193030","spotify:user:1156541371","2014-11-18T07:27:35Z"
"spotify:track:7BfcMByUiNKt890X33YElJ","Never Coming Home","Reigning Sound","Shattered","1","2","207680","spotify:user:1156541371","2014-11-18T07:27:53Z"
"spotify:track:12bU7EsDacFu3ToZtB0ZQH","Rollercoaster","Bleachers","Rollercoaster","1","1","188866","spotify:user:1156541371","2014-11-18T07:28:05Z"
"spotify:track:77gY3WsOnEsq9JOWgBmdLj","Whiskey In The Jar","Metallica","Garage, Inc.","1","9","304893","spotify:user:1156541371","2014-11-18T07:28:30Z"
"spotify:track:5pprMm8skaIumWGuksypXt","Looking Too Closely","Fink","Looking Too Closely (Single)","1","1","310693","spotify:user:1156541371","2014-11-18T07:28:45Z"
"spotify:track:0MrkZz4D3fGlEkhebjPPrh","MK Ultra","Muse","The Resistance","1","7","246093","spotify:user:1156541371","2014-11-18T07:28:53Z"
"spotify:track:2UKARCqDrhkYDoVR4FN5Wi","Plug In Baby","Muse","Origin Of Symmetry","1","5","218000","spotify:user:1156541371","2014-11-18T07:28:56Z"
"spotify:track:2zmR3FG7iOGDAdwrVPzdg9","Invincible","Muse","Black Holes And Revelations","1","6","301386","spotify:user:1156541371","2014-11-18T07:29:00Z"
"spotify:track:4VqPOruhp5EdPBeR92t6lQ","Uprising","Muse","The Resistance","1","1","304840","spotify:user:1156541371","2014-11-18T07:29:09Z"
"spotify:track:2pqj0Wy8JtN1epjgkAQw9B","Mean Street","Mando Diao","Give Me Fire (International Version)","1","5","271773","spotify:user:1156541371","2014-11-18T07:29:17Z"
"spotify:track:25fvvK10ibK2tq3LvOxRXE","Shuffle","Bombay Bicycle Club","A Different Kind Of Fix","1","6","235293","spotify:user:1156541371","2014-11-18T07:29:23Z"
